,Unnamed: 0,name,matchday,event_type,count
20,280337,Robert Lewandowski,1,pass,21
53,281301,Robert Lewandowski,2,pass,6
87,282273,Robert Lewandowski,3,pass,21
120,283238,Robert Lewandowski,4,pass,21
154,284203,Robert Lewandowski,5,pass,12
188,285165,Robert Lewandowski,6,pass,0
221,286133,Robert Lewandowski,7,pass,26
254,287098,Robert Lewandowski,8,pass,14
287,288062,Robert Lewandowski,9,pass,11
320,289028,Robert Lewandowski,10,pass,14
353,289993,Robert Lewandowski,11,pass,21
386,290955,Robert Lewandowski,12,pass,16
419,291921,Robert Lewandowski,13,pass,11
452,292885,Robert Lewandowski,14,pass,21
485,293845,Robert Lewandowski,15,pass,16
518,294810,Robert Lewandowski,16,pass,16
551,295781,Robert Lewandowski,17,pass,16
585,296745,Robert Lewandowski,18,pass,16
619,297717,Robert Lewandowski,19,pass,22
652,298679,Robert Lewandowski,20,pass,19
685,299641,Robert Lewandowski,21,pass,20
718,300606,Robert Lewandowski,22,pass,18
751,301571,Robert Lewandowski,23,pass,14
784,302537,Robert Lewandowski,24,pass,18
817,303504,Robert Lewandowski,25,pass,17
851,304468,Robert Lewandowski,26,pass,16
885,305429,Robert Lewandowski,27,pass,0
918,306395,Robert Lewandowski,28,pass,0
951,307359,Robert Lewandowski,29,pass,0
984,308325,Robert Lewandowski,30,pass,0
1017,309294,Robert Lewandowski,31,pass,11
1050,310266,Robert Lewandowski,32,pass,20
1083,279370,Robert Lewandowski,33,pass,15
1116,311228,Robert Lewandowski,34,pass,22
